YEAR,Year_Aver,Spring,Summer,Fall,Winter
1973,12.4,11.6,24.5,12.9,-1.4
1974,11.4,10.8,22.4,13,-0.1
1975,12.6,11.2,23.9,15.5,0.3
1976,11.7,10.9,22.6,12.5,-1.7
1977,12.3,11.8,23.5,15,0.7
1978,12.8,11.7,24.7,14.3,2.2
1979,12.6,11.2,23.5,13.6,-0.2
1980,11.2,11,22.1,13.4,-2.3
1981,11.4,11.5,23.6,12.2,-0.1
1982,12.4,12,23.4,14.3,-0.2
1983,12.3,12.2,23.4,14.2,-2.1
1984,11.8,10.7,24.3,13.8,-0.6
1985,12.1,11.5,24.1,14.3,-2.1
1986,11.5,11.4,22.9,12.6,1.2
1987,12.2,11.1,23.2,14.1,0.3
1988,12.1,11,23.6,13.6,1.7
1989,12.8,12.3,22.9,13.7,1.4
1990,13.1,11.7,24.3,15.2,0.2
1991,12.2,11.4,23.4,13.5,1.7
1992,12.4,11.6,23.2,13.4,1.1
1993,11.8,11.1,21.7,13.8,0.5
1994,13.2,11.8,25.3,14.8,0.8
1995,12,11.1,23.7,13.4,-0.6
1996,12.1,10.6,23.5,14.1,0.5
1997,12.7,12.1,24,14,1.9
1998,13.5,13.4,23.1,15.4,1.6
1999,12.8,12.1,23.3,14.7,0.3
2000,12.5,11.6,24.2,13.7,0.3
2001,12.7,12.2,24.2,14.3,1.5
2002,12.6,12.7,23.1,12.5,0.9
2003,12.5,11.9,23.3,14.7,1.4
2004,13.2,12.2,24,14.7,0.5
2005,12.3,11.7,24.1,14.8,-0.1
2006,12.9,11.5,23.6,15.1,2.4
2007,13.2,12.1,23.8,14.5,0.7
2008,12.9,12.5,23.7,15.1,1.7
2009,13,12.6,23.3,14.7,0.5
2010,12.7,10.8,24.9,14.5,-0.7
2011,12.4,11,24,15.3,-0.4
2012,12.3,12.2,24.7,13.7,-1
2013,12.9,11.6,25.4,14.6,1.5
2014,13.1,13.1,23.6,14.9,0.7
2015,13.4,12.7,23.7,15.2,1.4
2016,13.6,13.2,24.8,15.1,1.6
2017,13.1,13,24.5,14.2,-0.8
2018,13,13.1,25.4,13.8,1.3
2019,13.5,12.7,24.1,15.4,3.1
2020,13.2,12.2,24,14.4,1.2
